ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Automation Status,Area Path,State,Tags
,,,"2","Verificar homógrafos y términos ambiguos con guías de pronunciación","Palabras con múltiples pronunciaciones deben clarificarse cuando el contexto no sea suficiente",,,,
"100679","Test Case","[3.2.1] Al recibir foco",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar con Tab a través de elementos interactivos","Ningún elemento debe provocar cambio de contexto (navegación, envío) solo al recibir foco",,,,
,,,"2","Verificar que campos de formulario no envíen al enfocarse","Foco debe ser independiente de activación, cambios solo deben ocurrir con acción explícita",,,,
"100680","Test Case","[3.2.2] Al ingresar datos",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Interactuar con formularios y controles sin activar botón enviar","Cambios en campos no deben causar cambio de contexto sin advertencia o confirmación previa",,,,
,,,"2","Probar selects y radios que puedan causar navegación automática","Si cambio causa acción, debe advertirse previamente o requerir botón de confirmación",,,,
"100681","Test Case","[3.2.3] Navegación consistente",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Comparar menús y navegación en diferentes páginas","Elementos de navegación repetidos deben aparecer en el mismo orden en todas las páginas",,,,
,,,"2","Documentar ubicación de elementos globales (buscar, login, menú principal)","Componentes comunes deben mantener posición y orden consistente en todo el sitio",,,,
"100682","Test Case","[3.2.4] Identificación consistente",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar componentes con misma función en diferentes páginas","Componentes equivalentes deben usar mismas etiquetas, iconos y nombres accesibles",,,,
,,,"2","Verificar consistencia de iconos y símbolos a través del sitio","Mismo icono debe representar misma función, evitar símbolos diferentes para acciones idénticas",,,,
"100683","Test Case","[3.2.5] Cambio bajo solicitud",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Verificar que cambios significativos requieran acción explícita del usuario","No deben ocurrir cambios de contexto, envíos o navegación sin confirmación explícita",,,,
,,,"2","Identificar y corregir envíos automáticos o redirecciones inesperadas","Usuario debe iniciar todos los cambios importantes mediante botones o enlaces claros",,,,
"100684","Test Case","[3.2.6] Ayuda consistente",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Buscar mecanismos de ayuda en diferentes secciones","Opciones de ayuda deben aparecer en ubicación consistente a través del sitio",,,,
,,,"2","Verificar acceso rápido a contacto, FAQ, chat o documentación","Ayuda debe estar disponible de forma predecible en ubicación fija",,,,
"100685","Test Case","[3.3.1] Identificación de errores",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Enviar formulario con errores intencionales","Errores deben identificarse claramente en texto, marcarse visualmente y anunciarse a lectores de pantalla",,,,
,,,"2","Verificar que mensajes de error usen aria-describedby o aria-invalid","Errores deben asociarse programáticamente con campos afectados para tecnologías asistivas",,,,
,,,"3","Comprobar que foco se mueva a primer error o resumen de errores","Tras validación, usuario debe ser dirigido claramente a los problemas encontrados",,,,
"100686","Test Case","[3.3.2] Etiquetas o instrucciones",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar todos los campos de formularios","Cada campo debe tener label visible y programáticamente asociado, con instrucciones claras si es necesario",,,,
,,,"2","Verificar campos con formatos específicos (fecha, teléfono, código postal)","Campos con requisitos de formato deben incluir ejemplos o máscaras de entrada",,,,
"100687","Test Case","[3.3.3] Sugerencias de error",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Provocar errores de validación en formularios","Mensajes de error deben sugerir cómo corregir el problema específico",,,,
,,,"2","Evaluar calidad de mensajes: deben ser específicos y orientados a solución","Errores deben explicar qué está mal y cómo corregirlo, no solo indicar que hay error",,,,
"100688","Test Case","[3.3.4] Prevención de errores críticos",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Completar transacciones financieras o legales si existen","Debe permitir revisar, confirmar y corregir información antes de envío final",,,,
,,,"2","Verificar página de confirmación con opción de editar antes de envío definitivo","Datos críticos deben mostrarse en resumen con posibilidad de volver y modificar",,,,
"100689","Test Case","[3.3.5] Ayuda contextual",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Buscar ayuda contextual en formularios y tareas complejas","Debe existir ayuda disponible para completar tareas, visible o fácilmente accesible",,,,
,,,"2","Verificar tooltips, enlaces de ayuda o iconos de información junto a campos complejos","Ayuda debe estar disponible en contexto donde se necesita, no solo en página separada",,,,
"100690","Test Case","[3.3.6] Prevención de errores para todos",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar formularios que modifiquen, eliminen o comprometan datos del usuario","Debe existir mecanismo reversible (deshacer), de verificación (revisar antes de enviar) o de confirmación explícita",,,,
,,,"2","Probar envío de formularios con información crítica","Sistema debe presentar pantalla de revisión donde usuario pueda verificar y corregir antes de confirmar",,,,
,,,"3","Verificar disponibilidad de opción para revertir acciones completadas","Acciones destructivas deben permitir deshacer o tener período de gracia antes de ejecutarse permanentemente",,,,
,,,"4","Comprobar confirmaciones explícitas para acciones irreversibles","Eliminaciones, transferencias o cambios permanentes deben requerir confirmación adicional clara y específica",,,,
"100691","Test Case","[3.3.7] Entrada redundante",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Completar formularios multi-paso","Información ya proporcionada debe auto-completarse o poder seleccionarse, no reingresarse",,,,
,,,"2","Verificar que datos de pasos anteriores se pre-rellenen en pasos posteriores","Usuario no debe reescribir nombre, dirección u otros datos ya ingresados",,,,
"100692","Test Case","[3.3.8] Autenticación accesible",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Probar proceso de login y autenticación","Debe ofrecer alternativas accesibles a CAPTCHA visual o pruebas cognitivas (email, SMS, biometría)",,,,
,,,"2","Verificar disponibilidad de autenticación por enlace mágico o código OTP","Métodos alternativos deben ser igualmente seguros sin requerir reconocimiento visual",,,,
"100693","Test Case","[3.3.9] Autenticación accesible mejorada",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Evaluar todos los métodos de autenticación disponibles","Sistema debe ofrecer métodos que no dependan de reconocimiento de objetos o pruebas cognitivas complejas",,,,
,,,"2","Documentar y promover uso de autenticación biométrica o gestores de contraseñas","Opciones de autenticación deben incluir métodos AAA que no requieran memoria compleja",,,,
"100694","Test Case","[4.1.1] Parseo HTML",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Validar HTML con W3C Validator o herramienta similar","No deben existir errores críticos: IDs duplicados, etiquetas mal anidadas, atributos requeridos faltantes",,,,
,,,"2","Revisar código generado dinámicamente con inspector de navegador","JavaScript que genera contenido debe producir HTML válido y bien formado",,,,
"100695","Test Case","[4.1.2] Nombre, rol, valor",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar controles personalizados con inspector de accesibilidad","Todos los controles deben exponer nombre, rol y valor correcto al API de accesibilidad",,,,
,,,"2","Probar widgets personalizados con lector de pantalla","Componentes deben anunciarse correctamente con rol, estado y propiedades ARIA apropiadas",,,,
,,,"3","Verificar que cambios de estado se reflejen en atributos ARIA","Estados dinámicos (expandido, seleccionado, presionado) deben actualizarse programáticamente",,,,
"100696","Test Case","[4.1.3] Mensajes de estado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Provocar mensajes dinámicos (confirmación, error, carga)","Mensajes deben anunciarse en lectores de pantalla usando ARIA live regions apropiados",,,,
,,,"2","Verificar uso correcto de role=alert, aria-live=polite/assertive","Mensajes críticos usan assertive, informaciones usan polite, sin mover foco",,,,
,,,"3","Probar con lector de pantalla que anuncios interrumpan o esperen apropiadamente","Live regions deben configurarse según urgencia del mensaje sin causar interrupciones excesivas",,,,
