"﻿ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Automation Status","Area Path","State","Tags"
"","","","2","Verify error messages use aria-describedby or aria-invalid","Errors must be programmatically associated with affected fields for assistive technologies","","","",""
"","","","3","Verify focus moves to first error or error summary","After validation, user must be clearly directed to found problems","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.2 - Labels or Instructions","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Review all form fields","Each field must have visible and programmatically associated label, with clear instructions if needed","","","",""
"","","","2","Verify fields with specific formats (date, phone, zip code)","Fields with format requirements must include examples or input masks","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.3 - Error Suggestion","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Trigger validation errors in forms","Error messages must suggest how to fix the specific problem","","","",""
"","","","2","Evaluate message quality: must be specific and solution-oriented","Errors must explain what is wrong and how to fix it, not just indicate there is an error","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.4 - Error Prevention (Legal, Financial, Data)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Complete financial or legal transactions if they exist","Must allow reviewing, confirming, and correcting information before final submission","","","",""
"","","","2","Verify confirmation page with option to edit before final submission","Critical data must be shown in summary with ability to go back and modify","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.5 - Help","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Search for contextual help in forms and complex tasks","Available help must exist to complete tasks, visible or easily accessible","","","",""
"","","","2","Verify tooltips, help links, or info icons next to complex fields","Help must be available in context where needed, not only on separate page","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.6 - Error Prevention (All)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify forms that modify, delete, or compromise user data","Reversible mechanism (undo), verification (review before submit), or explicit confirmation must exist","","","",""
"","","","2","Test form submission with critical information","System must present review screen where user can verify and correct before confirming","","","",""
"","","","3","Verify availability of option to revert completed actions","Destructive actions must allow undo or have grace period before permanent execution","","","",""
"","","","4","Verify explicit confirmations for irreversible actions","Deletions, transfers, or permanent changes must require clear and specific additional confirmation","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.7 - Redundant Entry","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Complete multi-step forms","Previously provided information must auto-complete or be selectable, not re-entered","","","",""
"","","","2","Verify data from previous steps is pre-filled in later steps","User must not re-type name, address, or other already entered data","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.8 - Accessible Authentication (Minimum)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Test login and authentication process","Must offer accessible alternatives to visual CAPTCHA or cognitive tests (email, SMS, biometrics)","","","",""
"","","","2","Verify availability of magic link or OTP code authentication","Alternative methods must be equally secure without requiring visual recognition","","","",""
"","Test Case","TC - [A11y] - 3.3 - Input Assistance - 3.3.9 - Accessible Authentication (Enhanced)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Evaluate all available authentication methods","System must offer methods not relying on object recognition or complex cognitive tests","","","",""
"","","","2","Document and promote use of biometric authentication or password managers","Authentication options must include AAA methods not requiring complex memory","","","",""
"","Test Case","TC - [A11y] - 4.1 - Compatible - 4.1.1 - Parsing (Obsolete and removed)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Validate HTML with W3C Validator or similar tool","No critical errors must exist: duplicate IDs, improperly nested tags, missing required attributes","","","",""
"","","","2","Review dynamically generated code with browser inspector","JavaScript generating content must produce valid and well-formed HTML","","","",""
"","Test Case","TC - [A11y] - 4.1 - Compatible - 4.1.2 - Name, Role, Value","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Inspect custom controls with accessibility inspector","All controls must expose correct name, role, and value to accessibility API","","","",""
"","","","2","Test custom widgets with screen reader","Components must announce correctly with appropriate ARIA role, state, and properties","","","",""
"","","","3","Verify state changes are reflected in ARIA attributes","Dynamic states (expanded, selected, pressed) must be updated programmatically","","","",""
"","Test Case","TC - [A11y] - 4.1 - Compatible - 4.1.3 - Status Messages","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Trigger dynamic messages (confirmation, error, loading)","Messages must be announced in screen readers using appropriate ARIA live regions","","","",""
"","","","2","Verify correct usage of role=alert, aria-live=polite/assertive","Critical messages use assertive, informational use polite, without moving focus","","","",""
"","","","3","Test with screen reader that announcements interrupt or wait appropriately","Live regions must be configured by message urgency without causing excessive interruptions","","","",""
