TCID,Test Summary,Issue Type,Priority,Labels,Step #,Action,Data,Expected Result
"69","","","","","2","Verificar que campos de formulario no envíen al enfocarse","","Foco debe ser independiente de activación, cambios solo deben ocurrir con acción explícita"
"70","TC - [A11y] - 3.2 - Predictable - 3.2.2 - On Input","Test","Medium","A11Y;A","1","Interactuar con formularios y controles sin activar botón enviar","","Cambios en campos no deben causar cambio de contexto sin advertencia o confirmación previa"
"70","","","","","2","Probar selects y radios que puedan causar navegación automática","","Si cambio causa acción, debe advertirse previamente o requerir botón de confirmación"
"71","TC - [A11y] - 3.2 - Predictable - 3.2.3 - Consistent Navigation","Test","Medium","A11Y;AA","1","Comparar menús y navegación en diferentes páginas","","Elementos de navegación repetidos deben aparecer en el mismo orden en todas las páginas"
"71","","","","","2","Documentar ubicación de elementos globales (buscar, login, menú principal)","","Componentes comunes deben mantener posición y orden consistente en todo el sitio"
"72","TC - [A11y] - 3.2 - Predictable - 3.2.4 - Consistent Identification","Test","Medium","A11Y;AA","1","Identificar componentes con misma función en diferentes páginas","","Componentes equivalentes deben usar mismas etiquetas, iconos y nombres accesibles"
"72","","","","","2","Verificar consistencia de iconos y símbolos a través del sitio","","Mismo icono debe representar misma función, evitar símbolos diferentes para acciones idénticas"
"73","TC - [A11y] - 3.2 - Predictable - 3.2.5 - Change on Request","Test","Medium","A11Y;AAA","1","Verificar que cambios significativos requieran acción explícita del usuario","","No deben ocurrir cambios de contexto, envíos o navegación sin confirmación explícita"
"73","","","","","2","Identificar y corregir envíos automáticos o redirecciones inesperadas","","Usuario debe iniciar todos los cambios importantes mediante botones o enlaces claros"
"74","TC - [A11y] - 3.2 - Predictable - 3.2.6 - Consistent Help","Test","Medium","A11Y;A","1","Buscar mecanismos de ayuda en diferentes secciones","","Opciones de ayuda deben aparecer en ubicación consistente a través del sitio"
"74","","","","","2","Verificar acceso rápido a contacto, FAQ, chat o documentación","","Ayuda debe estar disponible de forma predecible en ubicación fija"
"75","TC - [A11y] - 3.3 - Input Assistance - 3.3.1 - Error Identification","Test","Medium","A11Y;A","1","Enviar formulario con errores intencionales","","Errores deben identificarse claramente en texto, marcarse visualmente y anunciarse a lectores de pantalla"
"75","","","","","2","Verificar que mensajes de error usen aria-describedby o aria-invalid","","Errores deben asociarse programáticamente con campos afectados para tecnologías asistivas"
"75","","","","","3","Comprobar que foco se mueva a primer error o resumen de errores","","Tras validación, usuario debe ser dirigido claramente a los problemas encontrados"
"76","TC - [A11y] - 3.3 - Input Assistance - 3.3.2 - Labels or Instructions","Test","Medium","A11Y;A","1","Revisar todos los campos de formularios","","Cada campo debe tener label visible y programáticamente asociado, con instrucciones claras si es necesario"
"76","","","","","2","Verificar campos con formatos específicos (fecha, teléfono, código postal)","","Campos con requisitos de formato deben incluir ejemplos o máscaras de entrada"
"77","TC - [A11y] - 3.3 - Input Assistance - 3.3.3 - Error Suggestion","Test","Medium","A11Y;AA","1","Provocar errores de validación en formularios","","Mensajes de error deben sugerir cómo corregir el problema específico"
"77","","","","","2","Evaluar calidad de mensajes: deben ser específicos y orientados a solución","","Errores deben explicar qué está mal y cómo corregirlo, no solo indicar que hay error"
"78","TC - [A11y] - 3.3 - Input Assistance - 3.3.4 - Error Prevention (Legal, Financial, Data)","Test","Medium","A11Y;AA","1","Completar transacciones financieras o legales si existen","","Debe permitir revisar, confirmar y corregir información antes de envío final"
"78","","","","","2","Verificar página de confirmación con opción de editar antes de envío definitivo","","Datos críticos deben mostrarse en resumen con posibilidad de volver y modificar"
"79","TC - [A11y] - 3.3 - Input Assistance - 3.3.5 - Help","Test","Medium","A11Y;AAA","1","Buscar ayuda contextual en formularios y tareas complejas","","Debe existir ayuda disponible para completar tareas, visible o fácilmente accesible"
"79","","","","","2","Verificar tooltips, enlaces de ayuda o iconos de información junto a campos complejos","","Ayuda debe estar disponible en contexto donde se necesita, no solo en página separada"
"80","TC - [A11y] - 3.3 - Input Assistance - 3.3.6 - Error Prevention (All)","Test","Medium","A11Y;AAA","1","Identificar formularios que modifiquen, eliminen o comprometan datos del usuario","","Debe existir mecanismo reversible (deshacer), de verificación (revisar antes de enviar) o de confirmación explícita"
"80","","","","","2","Probar envío de formularios con información crítica","","Sistema debe presentar pantalla de revisión donde usuario pueda verificar y corregir antes de confirmar"
"80","","","","","3","Verificar disponibilidad de opción para revertir acciones completadas","","Acciones destructivas deben permitir deshacer o tener período de gracia antes de ejecutarse permanentemente"
"80","","","","","4","Comprobar confirmaciones explícitas para acciones irreversibles","","Eliminaciones, transferencias o cambios permanentes deben requerir confirmación adicional clara y específica"
"81","TC - [A11y] - 3.3 - Input Assistance - 3.3.7 - Redundant Entry","Test","Medium","A11Y;A","1","Completar formularios multi-paso","","Información ya proporcionada debe auto-completarse o poder seleccionarse, no reingresarse"
"81","","","","","2","Verificar que datos de pasos anteriores se pre-rellenen en pasos posteriores","","Usuario no debe reescribir nombre, dirección u otros datos ya ingresados"
"82","TC - [A11y] - 3.3 - Input Assistance - 3.3.8 - Accessible Authentication (Minimum)","Test","Medium","A11Y;AA","1","Probar proceso de login y autenticación","","Debe ofrecer alternativas accesibles a CAPTCHA visual o pruebas cognitivas (email, SMS, biometría)"
"82","","","","","2","Verificar disponibilidad de autenticación por enlace mágico o código OTP","","Métodos alternativos deben ser igualmente seguros sin requerir reconocimiento visual"
"83","TC - [A11y] - 3.3 - Input Assistance - 3.3.9 - Accessible Authentication (Enhanced)","Test","Medium","A11Y;AAA","1","Evaluar todos los métodos de autenticación disponibles","","Sistema debe ofrecer métodos que no dependan de reconocimiento de objetos o pruebas cognitivas complejas"
"83","","","","","2","Documentar y promover uso de autenticación biométrica o gestores de contraseñas","","Opciones de autenticación deben incluir métodos AAA que no requieran memoria compleja"
"84","TC - [A11y] - 4.1 - Compatible - 4.1.1 - Parsing (Obsolete and removed)","Test","Medium","A11Y;A","1","Validar HTML con W3C Validator o herramienta similar","","No deben existir errores críticos: IDs duplicados, etiquetas mal anidadas, atributos requeridos faltantes"
"84","","","","","2","Revisar código generado dinámicamente con inspector de navegador","","JavaScript que genera contenido debe producir HTML válido y bien formado"
"85","TC - [A11y] - 4.1 - Compatible - 4.1.2 - Name, Role, Value","Test","Medium","A11Y;A","1","Inspeccionar controles personalizados con inspector de accesibilidad","","Todos los controles deben exponer nombre, rol y valor correcto al API de accesibilidad"
"85","","","","","2","Probar widgets personalizados con lector de pantalla","","Componentes deben anunciarse correctamente con rol, estado y propiedades ARIA apropiadas"
"85","","","","","3","Verificar que cambios de estado se reflejen en atributos ARIA","","Estados dinámicos (expandido, seleccionado, presionado) deben actualizarse programáticamente"
"86","TC - [A11y] - 4.1 - Compatible - 4.1.3 - Status Messages","Test","Medium","A11Y;AA","1","Provocar mensajes dinámicos (confirmación, error, carga)","","Mensajes deben anunciarse en lectores de pantalla usando ARIA live regions apropiados"
"86","","","","","2","Verificar uso correcto de role=alert, aria-live=polite/assertive","","Mensajes críticos usan assertive, informaciones usan polite, sin mover foco"
"86","","","","","3","Probar con lector de pantalla que anuncios interrumpan o esperen apropiadamente","","Live regions deben configurarse según urgencia del mensaje sin causar interrupciones excesivas"
