"ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Assigned To","State"
"","Test Case","[2.5.3] Etiqueta en el nombre accesible","1","Inspeccionar con lector de pantalla controles con etiquetas visibles","Nombre accesible del control debe incluir el texto de su etiqueta visible","","Design"
"","","","1","Inspeccionar con lector de pantalla controles con etiquetas visibles","Nombre accesible del control debe incluir el texto de su etiqueta visible","",""
"","","","2","Verificar que comandos de voz puedan activar controles usando texto visible","Usuarios de control por voz deben poder decir texto visible para activar elemento","",""
"","Test Case","[2.5.4] Actuación por movimiento","1","Identificar funciones que usan acelerómetro o giroscopio","Funciones activadas por movimiento del dispositivo deben tener alternativa con UI estándar","","Design"
"","","","1","Identificar funciones que usan acelerómetro o giroscopio","Funciones activadas por movimiento del dispositivo deben tener alternativa con UI estándar","",""
"","","","2","Verificar configuración para desactivar actuación por movimiento","Usuario debe poder deshabilitar respuestas a movimiento para evitar activaciones accidentales","",""
"","Test Case","[2.5.6] Mecanismos de entrada concurrentes","1","Probar sitio con múltiples dispositivos de entrada simultáneos (teclado + mouse + touch)","Sitio debe soportar uso simultáneo de diferentes mecanismos de entrada sin restricciones","","Design"
"","","","1","Probar sitio con múltiples dispositivos de entrada simultáneos (teclado + mouse + touch)","Sitio debe soportar uso simultáneo de diferentes mecanismos de entrada sin restricciones","",""
"","","","2","Verificar que cambiar de método de entrada no cause pérdida de funcionalidad","Usuario debe poder alternar libremente entre teclado, mouse y touch sin problemas","",""
"","Test Case","[2.5.7] Movimientos de arrastre","1","Identificar funciones de arrastrar y soltar","Funciones de drag and drop deben tener alternativa con clics o taps simples","","Design"
"","","","1","Identificar funciones de arrastrar y soltar","Funciones de drag and drop deben tener alternativa con clics o taps simples","",""
"","","","2","Probar alternativas de teclado para reordenar elementos","Listas reordenables deben poder manipularse con teclado (flechas + Space/Enter)","",""
"","Test Case","[2.5.8] Tamaño objetivo mínimo","1","Medir dimensiones de controles táctiles (botones, enlaces)","Objetivos táctiles deben tener mínimo 24x24 píxeles CSS o espaciado equivalente","","Design"
"","","","1","Medir dimensiones de controles táctiles (botones, enlaces)","Objetivos táctiles deben tener mínimo 24x24 píxeles CSS o espaciado equivalente","",""
"","","","2","Verificar espaciado entre objetivos táctiles adyacentes","Si objetivos son menores a 24px, debe existir espacio suficiente alrededor para evitar errores","",""
"","Test Case","[3.1.1] Idioma de la página","1","Inspeccionar atributo lang en etiqueta <html>","Atributo lang debe estar presente y especificar idioma correcto del contenido principal","","Design"
"","","","1","Inspeccionar atributo lang en etiqueta <html>","Atributo lang debe estar presente y especificar idioma correcto del contenido principal","",""
"","","","2","Verificar con lector de pantalla que pronunciación sea correcta","Lector debe usar voz y reglas de pronunciación apropiadas al idioma declarado","",""
"","Test Case","[3.1.2] Idioma de partes","1","Identificar fragmentos de texto en idioma diferente al principal","Elementos con cambio de idioma deben tener atributo lang apropiado","","Design"
"","","","1","Identificar fragmentos de texto en idioma diferente al principal","Elementos con cambio de idioma deben tener atributo lang apropiado","",""
"","","","2","Probar lectura con lector de pantalla de citas o términos en otro idioma","Cambios de idioma deben ser reconocidos y pronunciados correctamente","",""
"","Test Case","[3.1.3] Palabras inusuales","1","Identificar jerga, términos técnicos o palabras inusuales en el contenido","Debe existir glosario, definiciones inline o mecanismo para explicar términos poco comunes","","Design"
"","","","1","Identificar jerga, términos técnicos o palabras inusuales en el contenido","Debe existir glosario, definiciones inline o mecanismo para explicar términos poco comunes","",""
"","","","2","Verificar accesibilidad de definiciones mediante enlaces o elementos dfn/abbr","Términos especializados deben vincularse a explicaciones accesibles","",""
"","Test Case","[3.1.4] Abreviaturas","1","Localizar abreviaturas y acrónimos en el contenido","Primera instancia de abreviaturas debe incluir expansión completa o enlace a definición","","Design"
"","","","1","Localizar abreviaturas y acrónimos en el contenido","Primera instancia de abreviaturas debe incluir expansión completa o enlace a definición","",""
"","","","2","Implementar elemento abbr con atributo title donde sea apropiado","Abreviaturas deben marcarse semánticamente para tecnologías asistivas","",""
"","Test Case","[3.1.5] Nivel de lectura","1","Evaluar complejidad del texto y nivel de lectura requerido","Contenido complejo debe tener versión simplificada o resumen para nivel de educación secundaria básica","","Design"
"","","","1","Evaluar complejidad del texto y nivel de lectura requerido","Contenido complejo debe tener versión simplificada o resumen para nivel de educación secundaria básica","",""
"","","","2","Usar herramientas de análisis de legibilidad (Flesch-Kincaid, INFLESZ)","Medir índices de legibilidad y proporcionar alternativas para contenido técnico o complejo","",""
"","Test Case","[3.1.6] Pronunciación","1","Identificar palabras donde pronunciación sea crítica para comprensión","Debe existir mecanismo para indicar pronunciación (IPA, audio, texto fonético)","","Design"
"","","","1","Identificar palabras donde pronunciación sea crítica para comprensión","Debe existir mecanismo para indicar pronunciación (IPA, audio, texto fonético)","",""
"","","","2","Verificar homógrafos y términos ambiguos con guías de pronunciación","Palabras con múltiples pronunciaciones deben clarificarse cuando el contexto no sea suficiente","",""
"","Test Case","[3.2.1] Al recibir foco","1","Navegar con Tab a través de elementos interactivos","Ningún elemento debe provocar cambio de contexto (navegación, envío) solo al recibir foco","","Design"
"","","","1","Navegar con Tab a través de elementos interactivos","Ningún elemento debe provocar cambio de contexto (navegación, envío) solo al recibir foco","",""
"","","","2","Verificar que campos de formulario no envíen al enfocarse","Foco debe ser independiente de activación, cambios solo deben ocurrir con acción explícita","",""
"","Test Case","[3.2.2] Al ingresar datos","1","Interactuar con formularios y controles sin activar botón enviar","Cambios en campos no deben causar cambio de contexto sin advertencia o confirmación previa","","Design"
"","","","1","Interactuar con formularios y controles sin activar botón enviar","Cambios en campos no deben causar cambio de contexto sin advertencia o confirmación previa","",""
"","","","2","Probar selects y radios que puedan causar navegación automática","Si cambio causa acción, debe advertirse previamente o requerir botón de confirmación","",""
"","Test Case","[3.2.3] Navegación consistente","1","Comparar menús y navegación en diferentes páginas","Elementos de navegación repetidos deben aparecer en el mismo orden en todas las páginas","","Design"
"","","","1","Comparar menús y navegación en diferentes páginas","Elementos de navegación repetidos deben aparecer en el mismo orden en todas las páginas","",""
"","","","2","Documentar ubicación de elementos globales (buscar, login, menú principal)","Componentes comunes deben mantener posición y orden consistente en todo el sitio","",""
"","Test Case","[3.2.4] Identificación consistente","1","Identificar componentes con misma función en diferentes páginas","Componentes equivalentes deben usar mismas etiquetas, iconos y nombres accesibles","","Design"
"","","","1","Identificar componentes con misma función en diferentes páginas","Componentes equivalentes deben usar mismas etiquetas, iconos y nombres accesibles","",""
"","","","2","Verificar consistencia de iconos y símbolos a través del sitio","Mismo icono debe representar misma función, evitar símbolos diferentes para acciones idénticas","",""
"","Test Case","[3.2.5] Cambio bajo solicitud","1","Verificar que cambios significativos requieran acción explícita del usuario","No deben ocurrir cambios de contexto, envíos o navegación sin confirmación explícita","","Design"
"","","","1","Verificar que cambios significativos requieran acción explícita del usuario","No deben ocurrir cambios de contexto, envíos o navegación sin confirmación explícita","",""
"","","","2","Identificar y corregir envíos automáticos o redirecciones inesperadas","Usuario debe iniciar todos los cambios importantes mediante botones o enlaces claros","",""
"","Test Case","[3.2.6] Ayuda consistente","1","Buscar mecanismos de ayuda en diferentes secciones","Opciones de ayuda deben aparecer en ubicación consistente a través del sitio","","Design"
"","","","1","Buscar mecanismos de ayuda en diferentes secciones","Opciones de ayuda deben aparecer en ubicación consistente a través del sitio","",""
"","","","2","Verificar acceso rápido a contacto, FAQ, chat o documentación","Ayuda debe estar disponible de forma predecible en ubicación fija","",""
"","Test Case","[3.3.1] Identificación de errores","1","Enviar formulario con errores intencionales","Errores deben identificarse claramente en texto, marcarse visualmente y anunciarse a lectores de pantalla","","Design"
"","","","1","Enviar formulario con errores intencionales","Errores deben identificarse claramente en texto, marcarse visualmente y anunciarse a lectores de pantalla","",""
"","","","2","Verificar que mensajes de error usen aria-describedby o aria-invalid","Errores deben asociarse programáticamente con campos afectados para tecnologías asistivas","",""
"","","","3","Comprobar que foco se mueva a primer error o resumen de errores","Tras validación, usuario debe ser dirigido claramente a los problemas encontrados","",""
"","Test Case","[3.3.2] Etiquetas o instrucciones","1","Revisar todos los campos de formularios","Cada campo debe tener label visible y programáticamente asociado, con instrucciones claras si es necesario","","Design"
"","","","1","Revisar todos los campos de formularios","Cada campo debe tener label visible y programáticamente asociado, con instrucciones claras si es necesario","",""
"","","","2","Verificar campos con formatos específicos (fecha, teléfono, código postal)","Campos con requisitos de formato deben incluir ejemplos o máscaras de entrada","",""
"","Test Case","[3.3.3] Sugerencias de error","1","Provocar errores de validación en formularios","Mensajes de error deben sugerir cómo corregir el problema específico","","Design"
"","","","1","Provocar errores de validación en formularios","Mensajes de error deben sugerir cómo corregir el problema específico","",""
"","","","2","Evaluar calidad de mensajes: deben ser específicos y orientados a solución","Errores deben explicar qué está mal y cómo corregirlo, no solo indicar que hay error","",""
"","Test Case","[3.3.4] Prevención de errores críticos","1","Completar transacciones financieras o legales si existen","Debe permitir revisar, confirmar y corregir información antes de envío final","","Design"
"","","","1","Completar transacciones financieras o legales si existen","Debe permitir revisar, confirmar y corregir información antes de envío final","",""
"","","","2","Verificar página de confirmación con opción de editar antes de envío definitivo","Datos críticos deben mostrarse en resumen con posibilidad de volver y modificar","",""
"","Test Case","[3.3.5] Ayuda contextual","1","Buscar ayuda contextual en formularios y tareas complejas","Debe existir ayuda disponible para completar tareas, visible o fácilmente accesible","","Design"
"","","","1","Buscar ayuda contextual en formularios y tareas complejas","Debe existir ayuda disponible para completar tareas, visible o fácilmente accesible","",""
"","","","2","Verificar tooltips, enlaces de ayuda o iconos de información junto a campos complejos","Ayuda debe estar disponible en contexto donde se necesita, no solo en página separada","",""
"","Test Case","[3.3.6] Prevención de errores para todos","1","Identificar formularios que modifiquen, eliminen o comprometan datos del usuario","Debe existir mecanismo reversible (deshacer), de verificación (revisar antes de enviar) o de confirmación explícita","","Design"
"","","","1","Identificar formularios que modifiquen, eliminen o comprometan datos del usuario","Debe existir mecanismo reversible (deshacer), de verificación (revisar antes de enviar) o de confirmación explícita","",""
"","","","2","Probar envío de formularios con información crítica","Sistema debe presentar pantalla de revisión donde usuario pueda verificar y corregir antes de confirmar","",""
"","","","3","Verificar disponibilidad de opción para revertir acciones completadas","Acciones destructivas deben permitir deshacer o tener período de gracia antes de ejecutarse permanentemente","",""
"","","","4","Comprobar confirmaciones explícitas para acciones irreversibles","Eliminaciones, transferencias o cambios permanentes deben requerir confirmación adicional clara y específica","",""
"","Test Case","[3.3.7] Entrada redundante","1","Completar formularios multi-paso","Información ya proporcionada debe auto-completarse o poder seleccionarse, no reingresarse","","Design"
"","","","1","Completar formularios multi-paso","Información ya proporcionada debe auto-completarse o poder seleccionarse, no reingresarse","",""
"","","","2","Verificar que datos de pasos anteriores se pre-rellenen en pasos posteriores","Usuario no debe reescribir nombre, dirección u otros datos ya ingresados","",""
"","Test Case","[3.3.8] Autenticación accesible","1","Probar proceso de login y autenticación","Debe ofrecer alternativas accesibles a CAPTCHA visual o pruebas cognitivas (email, SMS, biometría)","","Design"
"","","","1","Probar proceso de login y autenticación","Debe ofrecer alternativas accesibles a CAPTCHA visual o pruebas cognitivas (email, SMS, biometría)","",""
"","","","2","Verificar disponibilidad de autenticación por enlace mágico o código OTP","Métodos alternativos deben ser igualmente seguros sin requerir reconocimiento visual","",""
"","Test Case","[3.3.9] Autenticación accesible mejorada","1","Evaluar todos los métodos de autenticación disponibles","Sistema debe ofrecer métodos que no dependan de reconocimiento de objetos o pruebas cognitivas complejas","","Design"
"","","","1","Evaluar todos los métodos de autenticación disponibles","Sistema debe ofrecer métodos que no dependan de reconocimiento de objetos o pruebas cognitivas complejas","",""
"","","","2","Documentar y promover uso de autenticación biométrica o gestores de contraseñas","Opciones de autenticación deben incluir métodos AAA que no requieran memoria compleja","",""
"","Test Case","[4.1.1] Parseo HTML","1","Validar HTML con W3C Validator o herramienta similar","No deben existir errores críticos: IDs duplicados, etiquetas mal anidadas, atributos requeridos faltantes","","Design"
"","","","1","Validar HTML con W3C Validator o herramienta similar","No deben existir errores críticos: IDs duplicados, etiquetas mal anidadas, atributos requeridos faltantes","",""
"","","","2","Revisar código generado dinámicamente con inspector de navegador","JavaScript que genera contenido debe producir HTML válido y bien formado","",""
"","Test Case","[4.1.2] Nombre, rol, valor","1","Inspeccionar controles personalizados con inspector de accesibilidad","Todos los controles deben exponer nombre, rol y valor correcto al API de accesibilidad","","Design"
"","","","1","Inspeccionar controles personalizados con inspector de accesibilidad","Todos los controles deben exponer nombre, rol y valor correcto al API de accesibilidad","",""
"","","","2","Probar widgets personalizados con lector de pantalla","Componentes deben anunciarse correctamente con rol, estado y propiedades ARIA apropiadas","",""
"","","","3","Verificar que cambios de estado se reflejen en atributos ARIA","Estados dinámicos (expandido, seleccionado, presionado) deben actualizarse programáticamente","",""
"","Test Case","[4.1.3] Mensajes de estado","1","Provocar mensajes dinámicos (confirmación, error, carga)","Mensajes deben anunciarse en lectores de pantalla usando ARIA live regions apropiados","","Design"
"","","","1","Provocar mensajes dinámicos (confirmación, error, carga)","Mensajes deben anunciarse en lectores de pantalla usando ARIA live regions apropiados","",""
"","","","2","Verificar uso correcto de role=alert, aria-live=polite/assertive","Mensajes críticos usan assertive, informaciones usan polite, sin mover foco","",""
"","","","3","Probar con lector de pantalla que anuncios interrumpan o esperen apropiadamente","Live regions deben configurarse según urgencia del mensaje sin causar interrupciones excesivas","",""
